Date,Open,High,Low,Close,Adj Close,Volume
2014-08-29,108.900002,109.099998,108.250000,109.070000,93.917465,4437200
2014-09-02,109.029999,109.730003,108.830002,108.919998,93.788315,4040200
2014-09-03,109.449997,109.660004,108.050003,108.459999,93.392227,4669000
2014-09-04,108.300003,109.489998,108.160004,108.820000,93.702194,4604000
2014-09-05,109.000000,109.180000,108.190002,108.540001,93.461098,4305000
2014-09-08,108.230003,108.459999,107.519997,107.910004,92.918633,3496900
2014-09-09,107.820000,108.199997,107.190002,107.400002,92.479477,3578500
2014-09-10,105.610001,106.120003,105.379997,105.930000,91.213692,8154700
2014-09-11,105.660004,105.660004,104.589996,105.589996,90.920929,5460100
2014-09-12,104.970001,105.089996,104.400002,105.019997,90.430107,6904200
2014-09-15,104.320000,104.900002,103.220001,104.860001,90.292328,7051900
2014-09-16,104.209999,105.830002,103.769997,104.860001,90.292328,5289700
2014-09-17,105.180000,105.410004,103.879997,103.989998,89.543190,5122200
2014-09-18,104.300003,104.550003,103.400002,104.339996,89.844574,3915800
2014-09-19,104.849998,105.000000,102.080002,102.510002,88.268822,8285400
2014-09-22,102.099998,102.260002,100.820000,100.900002,86.882507,5093200
2014-09-23,100.860001,101.089996,99.879997,99.989998,86.098892,5710300
2014-09-24,100.040001,101.489998,99.889999,101.199997,87.140800,5797000
2014-09-25,101.000000,101.199997,99.190002,99.510002,85.685600,4960800
2014-09-26,99.440002,100.639999,99.239998,100.379997,86.434715,2935900
2014-09-29,99.349998,100.099998,98.260002,99.830002,85.961143,3156400
2014-09-30,100.029999,100.099998,98.800003,99.029999,85.272255,3746100
2014-10-01,98.639999,99.000000,97.269997,97.610001,84.049553,4827300
2014-10-02,97.650002,97.980003,96.150002,97.410004,83.877335,4460800
2014-10-03,98.040001,98.339996,97.029999,97.389999,83.860115,3921900
2014-10-06,97.809998,98.129997,96.910004,98.000000,84.385361,3982400
2014-10-07,97.089996,97.510002,94.690002,94.699997,81.543831,6479500
2014-10-08,94.580002,96.860001,93.639999,96.650002,83.222916,6214200
2014-10-09,96.209999,96.519997,93.239998,93.500000,80.510544,6414500
2014-10-10,93.239998,94.570000,91.610001,93.129997,80.191925,6179100
2014-10-13,93.290001,94.059998,91.620003,91.680000,78.943367,5852400
2014-10-14,92.510002,95.010002,92.389999,92.800003,79.907791,6791300
2014-10-15,91.430000,92.750000,90.050003,92.589996,79.726959,9377600
2014-10-16,90.269997,94.150002,90.269997,93.239998,80.898254,7439400
2014-10-17,94.199997,95.599998,93.980003,95.050003,82.468681,7442600
2014-10-20,94.529999,95.300003,93.269997,94.029999,81.583679,4270800
2014-10-21,95.040001,96.320000,95.040001,95.889999,83.197495,3990500
2014-10-22,95.529999,95.980003,94.050003,94.570000,82.052223,6211300
2014-10-23,97.599998,99.940002,97.339996,99.269997,86.130074,11670100
2014-10-24,99.510002,99.680000,98.370003,99.440002,86.277588,4133800
2014-10-27,98.680000,98.769997,97.150002,98.540001,85.496719,4346100
2014-10-28,99.440002,101.160004,99.029999,101.160004,87.769928,5069600
2014-10-29,101.529999,101.839996,99.839996,100.190002,86.928314,4426400
2014-10-30,99.629997,100.580002,99.059998,100.160004,86.902298,2650900
2014-10-31,101.349998,102.370003,100.839996,101.410004,87.986839,5367700
2014-11-03,101.610001,101.760002,99.769997,100.220001,86.954353,4434300
2014-11-04,99.750000,100.000000,98.040001,98.610001,85.557449,4849000
2014-11-05,99.449997,99.639999,98.449997,99.410004,86.251564,3515600
2014-11-06,99.510002,100.989998,99.239998,100.910004,87.553009,3427700
2014-11-07,101.260002,101.830002,100.900002,101.760002,88.290504,2708200
2014-11-10,101.860001,102.550003,101.860001,102.209999,88.680923,3308100
2014-11-11,102.309998,102.800003,101.599998,102.529999,88.958588,2464400
2014-11-12,102.169998,103.220001,101.519997,102.989998,89.357697,2808700
2014-11-13,103.059998,103.180000,100.680000,101.110001,87.726555,3924100
2014-11-14,101.000000,101.699997,100.650002,101.339996,87.926086,2660500
2014-11-17,101.250000,102.080002,100.449997,101.699997,88.238449,2477000
2014-11-18,101.699997,102.449997,101.309998,102.040001,88.533447,2761200
2014-11-19,101.860001,102.300003,100.889999,101.300003,87.891380,4679100
2014-11-20,100.330002,102.139999,100.070000,102.089996,88.576805,3052600
2014-11-21,104.300003,107.120003,104.199997,106.449997,92.359695,8738000
2014-11-24,106.400002,106.470001,105.099998,105.959999,91.934586,4108600
2014-11-25,106.099998,106.629997,105.330002,106.239998,92.177498,3321500
2014-11-26,106.290001,106.440002,105.449997,105.790001,91.787071,2463800
2014-11-28,104.389999,104.610001,100.120003,100.599998,87.284027,5780900
2014-12-01,100.239998,100.470001,97.790001,99.000000,85.895821,7431800
2014-12-02,99.480003,99.959999,98.720001,99.510002,86.338341,3900400
2014-12-03,100.040001,101.459999,99.959999,100.180000,86.919640,6930700
2014-12-04,99.690002,100.870003,99.510002,99.669998,86.477150,3390100
2014-12-05,99.809998,99.959999,98.709999,98.779999,85.704964,3605000
2014-12-08,98.660004,98.760002,95.199997,95.250000,82.642204,7192100
2014-12-09,94.169998,96.169998,93.800003,95.449997,82.815735,6562900
2014-12-10,94.910004,95.019997,92.750000,93.019997,80.707367,6749600
2014-12-11,93.680000,94.290001,92.529999,92.690002,80.421051,4664900
2014-12-12,92.000000,92.000000,89.959999,90.500000,78.520927,10327200
2014-12-15,91.250000,91.290001,89.389999,89.750000,77.870216,6924100
2014-12-16,89.230003,92.250000,89.150002,89.339996,77.514473,7649500
2014-12-17,89.400002,90.139999,88.029999,89.750000,77.870216,8671600
2014-12-18,91.889999,91.889999,90.550003,91.690002,79.553421,8344400
